,id,bigrams
37,199681,"[('Art', 'Institute'), ('Logan', 'Square'), ('cool', 'guy')]"
38,201170,"[('very', 'comfortable'), ('to', 'stay'), ('clean', 'and')]"
39,201996,"[('have', 'been'), ('The', 'apartment'), ('from', 'the')]"
40,202204,[]
41,204812,"[('blocks', 'away'), ('automated', 'posting'), ('public', 'transportation')]"
42,207116,"[('United', 'Center'), ('Highly', 'recommended'), ('navy', 'pier')]"
43,207218,"[('Air', 'BnB'), ('Judgment', 'City'), ('south', 'side')]"
44,207351,"[('have', 'been'), ('not', 'have'), ('gave', 'me')]"
45,220660,"[('United', 'Center'), ('Breakfast', 'House'), ('Wicker', 'Park')]"
46,221109,"[('automated', 'posting'), ('walking', 'distance'), ('public', 'transportation')]"
47,225314,"[('blue', 'line'), ('Logan', 'Square'), ('at', 'home')]"
48,228273,"[('walk', 'from'), ('Airbnb', 'experience'), ('The', 'room')]"
49,229826,"[('walking', 'distance'), ('Ukrainian', 'Village'), ('within', 'walking')]"
50,230836,"[('if', 'you'), ('a', 'great'), ('Graz', 'was')]"
51,233500,"[('deep', 'dish'), ('dish', 'pizza'), ('20', 'min')]"
52,233528,"[('Green', 'Line'), ('air', 'bnb'), ('red', 'line')]"
53,233933,"[('favorite', 'muffins'), ('walking', 'distance'), ('Irving', 'Park')]"
54,234060,"[('McCormick', 'Place'), ('public', 'transportation'), ('3', 'nights')]"
55,236792,"[('come', 'back'), ('thing', 'missing'), ('’', 's')]"
56,241514,"[('Whole', 'Foods'), ('easily', 'accessible'), ('Highly', 'recommended')]"
57,248791,"[('Red', 'Line'), ('public', 'transportation'), ('’', 's')]"
58,257601,"[('Magnificent', 'Mile'), ('URL', 'HIDDEN'), ('Art', 'Institute')]"
59,261509,"[('walking', 'distance'), ('Magnificent', 'Mile'), ('more', 'than')]"
60,264184,[]
61,264547,"[('Randolph', 'Street'), ('fish', 'tank'), ('grocery', 'store')]"
62,267646,"[('ear', 'plugs'), ('Wave', 'Coffee'), ('New', 'Wave')]"
63,272728,"[('King', 'Drive'), ('red', 'line'), ('walking', 'distance')]"
64,274784,"[('you', 'want'), ('if', 'you'), ('we', 'needed')]"
65,287539,"[('United', 'Center'), ('Wicker', 'Park'), ('look', 'forward')]"
66,289884,"[('Humboldt', 'Park'), ('Wicker', 'Park'), ('coffee', 'shop')]"
67,290155,"[('hot', 'tub'), ('we', 'were'), ('The', 'hot')]"
68,306169,"[('less', 'than'), ('public', 'transportation'), ('if', ""you're"")]"
69,308331,"[('staying', 'here'), ('in', 'the'), ('Dawn', 'was')]"
70,312192,"[('a', 'few'), ('Bob', 'was'), ('was', 'clean')]"
71,313227,"[('Highly', 'recommended'), ('walking', 'distance'), ('within', 'walking')]"
72,325842,"[('grocery', 'store'), ('Lincoln', 'Park'), ('get', 'around')]"
73,339298,"[('natural', 'light'), ('Humboldt', 'Park'), (""didn't"", 'use')]"
74,345075,"[('Robie', 'House'), ('15', 'minutes'), ('its', 'own')]"
75,349265,"[('Hyde', 'Park'), ('my', 'family'), ('of', 'Chicago')]"
76,350347,"[('URL', 'HIDDEN'), ('Bad', 'Ass'), ('Windy', 'City')]"
77,372929,"[('Windy', 'City'), ('’', 't'), ('master', 'bathroom')]"
78,387336,"[('walking', 'distance'), ('dining', 'room'), ('have', 'been')]"
79,397472,"[('Red', 'Line'), ('within', 'walking'), ('can', 'hear')]"
80,404792,"[('public', 'transport'), ('last', 'minute'), ('blue', 'line')]"
81,408267,"[('Red', 'Line'), ('red', 'line'), ('Rogers', 'Park')]"
82,408268,"[('public', 'transport'), (""Roger's"", 'Park'), ('make', 'sure')]"
83,412182,"[('gift', 'card'), ('pie', 'shop'), ('Pie', 'Shop')]"
84,415547,"[('URL', 'HIDDEN'), ('conveniently', 'located'), ('five', 'minutes')]"
85,420422,"[('recommend', 'this'), ('highly', 'recommend'), ('at', ""Rob's"")]"
86,422214,"[('king', 'bed'), ('will', 'take'), ('walking', 'distance')]"
87,438850,"[('Art', 'Institute'), ('Cloud', 'Gate'), ('Highly', 'recommended')]"
88,446474,"[('a', 'nice'), ('in', 'a')]"
89,464581,"[('Air', 'BnB'), ('Michael', 'Jackson'), ('ear', 'plugs')]"
90,479086,"[('automated', 'posting'), ('blue', 'line'), ('Logan', 'Square')]"
91,479402,"[('My', 'boyfriend'), ('make', 'sure'), ('walking', 'distance')]"
92,482486,"[('natural', 'light'), ('Red', 'Line'), ('added', 'bonus')]"
93,484898,"[('Thank', 'you'), ('enjoyed', 'our'), ('you', 'for')]"
94,486736,"[('Logan', 'Square'), ('Puerto', 'Rican'), ('Humboldt', 'Park')]"
95,488097,"[('and', 'the')]"
96,496809,"[('Rogers', 'Park'), ('highly', 'recommend'), ('look', 'forward')]"
97,504564,"[('Loyola', 'University'), ('Rogers', 'Park'), ('coffee', 'shop')]"
98,507517,"[('look', 'forward'), ('Brown', 'Line'), ('nicely', 'furnished')]"
99,533831,"[('’', 't'), ('hot', 'water'), ('walking', 'distance')]"
100,541535,"[('Wicker', 'Park'), ('two', 'months'), ('Ivy', 'Loft')]"
101,542067,"[(""farmer's"", 'market'), ('orange', 'juice'), ('Longman', 'Eagle')]"
102,555140,"[('Puerto', 'Rican'), ('Ukrainian', 'Village'), ('grocery', 'store')]"
103,584590,"[('automated', 'posting'), ('before', 'arrival'), ('’', 't')]"
104,585353,"[('walking', 'distance'), ('blue', 'line'), ('minute', 'walk')]"
105,585356,"[('’', 's'), ('come', 'back'), ('any', 'questions')]"
106,585510,"[('URL', 'HIDDEN'), ('tree', 'lined'), ('Twin', 'Anchors')]"
107,589871,"[('The', 'location'), (""Jeff's"", 'home'), ('The', 'home')]"
108,589939,"[('Thank', 'you'), ('my', 'first'), ('me', 'feel')]"
109,594627,"[('great', 'host'), ('The', 'place'), ('place', 'is')]"
110,602854,"[('Millennium', 'Park'), ('47th', 'floor'), ('outdoor', 'pool')]"
111,607502,"[('few', 'blocks'), ('public', 'transportation'), ('Wicker', 'Park')]"
112,611839,"[('Highly', 'recommended'), ('even', 'though'), ('walking', 'distance')]"
113,618365,"[('an', 'amazing'), ('lot', 'of'), ('Thank', 'you')]"
114,626287,"[('Blue', 'Line'), ('grocery', 'store'), ('Highly', 'recommended')]"
115,626296,"[('other', 'guest'), ('could', 'not'), ('not', 'have')]"
116,628149,"[('as', 'described'), ('will', 'be'), ('my', 'experience')]"
117,628299,"[('National', 'Museum'), ('Highly', 'recommended'), ('upon', 'arrival')]"
118,629745,"[('Navy', 'Pier'), ('Taxi', 'service'), ('blue', 'line')]"
119,634310,"[('air', 'bnb'), ('Red', 'Line'), ('Glass', 'Apartment')]"
120,641526,"[('few', 'blocks'), ('public', 'transport'), ('toilet', 'paper')]"
121,641532,"[('McCormick', 'Place'), ('even', 'though'), ('green', 'line')]"
122,642053,[]
123,642065,"[('Wicker', 'Park'), ('wicker', 'park'), ('here', 'again')]"
124,642071,"[('Wicker', 'Park'), ('definitely', 'stay'), ('stay', 'here')]"
125,651742,"[('helped', 'us'), ('front', 'of'), ('at', ""Jeff's"")]"
126,659520,"[('never', 'felt'), ('exactly', 'as'), ('highly', 'recommend')]"
127,662034,"[('would', 'definitely'), ('minutes', 'from'), ('highly', 'recommend')]"
128,675641,"[('Whole', 'Foods'), (""Can't"", 'wait'), ('common', 'areas')]"
129,681402,"[('walking', 'distance'), ('as', 'described'), ('again', 'if')]"
130,681842,"[('Airbnb', 'experience'), ('us', 'feel'), ('my', 'son')]"
131,686185,"[('automated', 'posting'), ('year', 'old'), ('before', 'arrival')]"
132,689419,"[('perfect', 'for'), ('this', 'house'), ('is', 'very')]"
133,696395,"[('blue', 'line'), ('deck', 'are'), ('highly', 'recommend')]"
134,697634,"[('Lincoln', 'Park'), ('Second', 'City'), ('public', 'transportation')]"
135,699284,"[('Trader', ""Joe's""), ('air', 'mattresses'), ('highly', 'recommend')]"
136,709690,"[('to', 'be')]"
137,709870,"[('crash', 'pad'), ('loud', 'music'), ('come', 'back')]"
138,713431,"[('Logan', 'Square'), ('look', 'forward'), ('air', 'conditioning')]"
139,722570,"[('Lincoln', 'Square'), ('stay', 'here'), ('our', 'first')]"
140,724656,"[('made', 'sure'), ('has', 'lots'), ('an', 'excellent')]"
141,724895,"[('via', 'text'), ('did', 'not'), ('make', 'sure')]"
142,726376,"[('Dunkin', 'Donuts'), ('Lincoln', 'Park'), ('high', 'speed')]"
143,727847,"[('public', 'transportation'), ('Palmer', 'Treehouse'), ('highly', 'recommend')]"
144,731232,"[('cheese', 'OJ'), ('without', 'being'), ('cream', 'cheese')]"
145,732569,"[('Navy', 'Pier'), ('added', 'bonus'), ('living', 'room')]"
146,732746,"[('Wicker', 'Park'), ('natural', 'light'), ('easily', 'reachable')]"
147,736359,"[('Taylor', 'Street'), ('detailed', 'instructions'), ('easily', 'accessible')]"
148,736366,"[('automated', 'posting'), ('Union', 'Station'), ('Little', 'Italy')]"
149,736377,"[('URL', 'HIDDEN'), ('public', 'transport'), ('été', 'très')]"
150,739495,"[('Lincoln', 'Square'), ('breakfast', 'foods'), ('walking', 'distance')]"
151,753896,"[('’', 's'), ('next', 'time'), ('Wicker', 'Park')]"
152,760827,[]
153,764856,"[('so', 'much'), ('check', 'out'), ('walking', 'distance')]"
154,772822,"[('automated', 'posting'), ('within', 'walking'), ('Baker', 'Nosh')]"
155,773127,"[('public', 'transportation'), ('Brown', 'Line'), ('Roscoe', 'Village')]"
156,780336,"[('grocery', 'store'), ('Ukrainian', 'Village'), ('public', 'transportation')]"
157,783359,"[('I', 'would'), ('clean', 'and'), ('place', 'was')]"
158,787935,"[('Blue', 'Line'), ('walking', 'distance'), ('automated', 'posting')]"
159,789867,"[('walking', 'distance'), ('within', 'walking'), ('20', 'minutes')]"
160,790934,"[('bus', 'stop'), ('Great', 'value'), ('more', 'than')]"
161,802613,"[('Humboldt', 'Park'), ('as', 'described'), ('more', 'than')]"
162,810974,"[('red', 'line'), ('public', 'transportation'), ('Would', 'definitely')]"
163,817994,"[('Blue', 'Line'), ('conveniently', 'located'), (""can't"", 'wait')]"
164,821036,"[('Millennium', 'Park'), ('min', 'walk'), ('walking', 'distance')]"
165,822313,"[('Pink', 'Line'), ('bring', 'your'), ('public', 'transportation')]"
166,824518,"[('Big', 'Star'), ('Ukrainian', 'Village'), ('Every', 'detail')]"
167,848156,"[('ironing', 'board'), ('’', 's'), ('32nd', 'floor')]"
168,851443,"[('If', ""you're""), ('air', 'conditioning'), ('make', 'sure')]"
169,861786,"[('Windy', 'City'), ('Definitely', 'recommended'), ('’', 're')]"
170,863120,"[('separate', 'entrance'), ('Lincoln', 'Park'), ('walking', 'distance')]"
171,872247,"[('no', 'problems'), ('pink', 'line'), ('tastefully', 'decorated')]"
172,873628,"[('chocolate', 'lab'), ('walking', 'distance'), ('Blue', 'Line')]"
173,885614,"[('Wrigley', 'Field'), ('walking', 'distance'), ('look', 'forward')]"
174,887038,"[('conveniently', 'located'), ('living', 'room'), ('would', 'definitely')]"
175,909096,"[('glass', 'wall'), ('taken', 'care'), ('Street', 'parking')]"
176,915372,"[('very', 'friendly'), ('I', 'needed'), ('The', 'neighborhood')]"
177,927327,"[('hot', 'tub'), ('his', 'wife'), ('away', 'from')]"
178,929914,"[('hair', 'dryer'), ('’', 's'), ('look', 'forward')]"
179,931105,"[('Riot', 'Fest'), ('pool', 'table'), ('’', 's')]"
180,934335,[]
181,949420,"[('We', 'had'), ('a', 'great'), ('was', 'very')]"
182,956521,"[('at', 'least'), ('should', 'have'), ('did', 'not')]"
183,956612,"[('brown', 'line'), ('easy', 'access'), ('feel', 'welcome')]"
184,960326,"[('natural', 'light'), ('look', 'forward'), ('went', 'above')]"
185,969940,"[('when', 'I'), ('great', 'host'), ('of', 'Chicago')]"
186,979841,"[('Red', 'Line'), ('his', 'wife'), ('thoughtful', 'touches')]"
187,979926,"[('Lake', 'Michigan'), ('look', 'forward'), ('anywhere', 'else')]"
188,979942,"[('Red', 'Line'), ('3', 'nights'), ('red', 'line')]"
189,983330,"[(""OJ's"", 'place'), ('is', 'very'), ('my', 'stay')]"
190,983640,"[('cream', 'cheese'), ('look', 'forward'), ('Rogers', 'Park')]"
191,984850,"[('Lincoln', 'Park'), ('ping', 'pong'), ('Plum', 'Market')]"
192,985292,"[('walking', 'distance'), ('station', 'across'), ('fire', 'station')]"
193,1016539,"[('blue', 'line'), ('walking', 'distance'), ('board', 'games')]"
194,1020810,"[('Michigan', 'Avenue'), ('highly', 'recommend'), ('away', 'from')]"
195,1027405,"[('but', 'I'), ('from', 'the'), ('at', 'the')]"
196,1027463,"[('was', 'a')]"
197,1032943,"[('walking', 'distance'), ('Lakeshore', 'Drive'), ('Hyde', 'Park')]"
198,1056430,"[('Lincoln', 'Park'), ('Red', 'Line'), ('third', 'floor')]"
199,1066727,"[('brown', 'line'), ('highly', 'recommend'), ('coming', 'back')]"
200,1080532,"[('Lincoln', 'Park'), ('as', 'well'), ('well', 'as')]"
201,1089455,"[('Clark', 'Street'), ('private', 'bath'), ('walking', 'distance')]"
202,1096191,"[('Uber', 'ride'), ('more', 'than'), ('15', 'minutes')]"
203,1101458,"[('Frank', 'Lloyd'), ('grocery', 'store'), ('Highly', 'recommended')]"
204,1113259,"[('kind', 'enough'), (""couldn't"", 'have'), ('Would', 'recommend')]"
205,1127661,"[('Blue', 'Line'), ('beautifully', 'decorated'), ('California', 'station')]"
206,1135388,"[('Logan', 'Square'), ('for', 'our'), ('the', 'first')]"
207,1138514,"[('grocery', 'store'), ('recommend', 'staying'), ('at', ""Nambi's"")]"
208,1141045,"[('SENSITIVE', 'CONTENTS'), ('common', 'areas'), ('look', 'forward')]"
209,1147424,"[('Navy', 'Pier'), ('highly', 'recommend'), ('as', 'described')]"
210,1150221,"[('Would', 'definitely'), ('staying', 'here'), ('living', 'room')]"
211,1157026,"[('ear', 'plugs'), ('pink', 'line'), ('away', 'from')]"
212,1166640,"[('coffee', 'shops'), ('Logan', 'Square'), ('us', 'feel')]"
213,1167242,"[('automated', 'posting'), ('before', 'arrival'), ('an', 'automated')]"
214,1171860,"[('URL', 'HIDDEN'), ('toilet', 'paper'), ('water', 'pressure')]"
215,1175278,"[('walking', 'distance'), ('make', 'sure'), ('say', 'enough')]"
216,1183072,"[('ironing', 'board'), ('In', 'addition'), ('bottled', 'water')]"
217,1183249,"[('URL', 'HIDDEN'), ('red', 'line'), ('5', 'minutes')]"
218,1185749,"[('pots', 'pans'), ('’', 's'), ('Little', 'Italy')]"
219,1202623,"[('Blue', 'Line'), ('blue', 'line'), ('train', 'station')]"
220,1217096,"[('dinner', 'party'), ('Whole', 'Foods'), ('anywhere', 'else')]"
221,1229238,"[('second', 'floor'), ('any', 'questions'), ('make', 'sure')]"
222,1229267,"[('no', 'problem'), ('said', 'that'), ('Mario', 'was')]"
223,1231514,"[('private', 'bath'), (""Al's"", 'place'), ('close', 'to')]"
224,1235787,[]
225,1236739,"[('French', 'press'), ('20', 'minute'), ('air', 'conditioner')]"
226,1238598,"[('walking', 'distance'), ('red', 'line'), ('easily', 'accessible')]"
227,1243168,"[('Lula', 'Cafe'), ('Blue', 'Line'), ('blue', 'line')]"
228,1249397,"[('his', 'family'), ('we', 'needed'), ('It', 'was')]"
229,1267060,"[('rooftop', 'deck'), ('very', 'accommodating'), ('view', 'of')]"
230,1268060,"[('Lou', ""Malnati's""), ('John', 'Hancock'), ('Red', 'Line')]"
231,1278457,"[('Wicker', 'Park'), ('automated', 'posting'), ('highly', 'recommend')]"
232,1291440,"[('furry', 'friends'), ('look', 'forward'), ('public', 'transportation')]"
233,1296053,"[('lake', 'front'), ('at', ""Marva's""), ('we', 'could')]"
234,1296218,"[('--', 'Fantastic'), ('you', 'plan'), ('us', 'feel')]"
235,1301530,"[('Magnificent', 'Mile'), (""wouldn't"", 'hesitate'), ('URL', 'HIDDEN')]"
236,1304049,"[('Blue', 'Line'), ('Western', 'Blue'), ('blue', 'line')]"
237,1313143,"[('Whole', 'Foods'), ('Magnificent', 'Mile'), ('ceiling', 'windows')]"
238,1313847,"[('moldy', 'smell'), ('walking', 'distance'), ('first', 'floor')]"
239,1321332,"[('air', 'mattresses'), ('really', 'enjoyed'), ('better', 'than')]"
240,1324435,"[('Michigan', 'Avenue'), ('Magnificent', 'Mile'), ('walking', 'distance')]"
241,1332249,"[('public', 'transportation'), ('Wicker', 'Park'), ('walking', 'distance')]"
242,1333431,"[('The', 'house'), ('house', 'was'), ('the', 'city')]"
243,1336364,"[('minute', 'walk'), ('Wicker', 'Park'), ('no', 'complaints')]"
244,1346414,"[('Red', 'Line'), ('’', 's'), ('two', 'people')]"
245,1356190,"[('Wicker', 'Park'), ('Blue', 'Line'), ('walking', 'distance')]"
246,1359312,"[('walking', 'distance'), ('’', 's'), ('green', 'line')]"
247,1369384,"[('walking', 'distance'), ('public', 'transportation'), ('even', 'though')]"
248,1388296,"[('automated', 'posting'), ('before', 'arrival'), ('days', 'before')]"
249,1391819,"[('Logan', 'Square'), (""Danielle's"", 'place'), ('our', 'stay')]"
250,1392594,"[('grocery', 'store'), ('public', 'transportation'), ('highly', 'recommend')]"
251,1393504,"[('Highly', 'recommended'), ('blue', 'line'), ('Blue', 'Line')]"
252,1398616,"[('orange', 'line'), ('public', 'transportation'), ('My', 'husband')]"
253,1399297,"[('definitely', 'stay'), ('communicate', 'with'), ('host', 'She')]"
254,1412905,"[('She', 'met'), ('We', 'were'), ('met', 'us')]"
255,1427950,"[('Clark', 'Street'), ('highly', 'recommend'), ('first', 'experience')]"
256,1428024,"[('walking', 'distance'), ('Blue', 'Line'), ('Logan', 'Square')]"
257,1428589,"[('last', 'minute'), ('McCormick', 'Place'), ('public', 'transport')]"
258,1431467,"[('definitely', 'stay'), ('I', 'had'), (""Kara's"", 'apartment')]"
259,1434078,"[('for', 'a'), ('a', 'great')]"
260,1437606,"[('living', 'room'), ('went', 'smoothly'), ('public', 'transportation')]"
261,1439042,"[('was', 'very'), ('in', 'Chicago'), ('stay', 'at')]"
262,1461451,"[('Red', 'Line'), ('last', 'minute'), ('train', 'station')]"
263,1466368,"[('walking', 'distance'), ('Lincoln', 'Square'), ('blocks', 'away')]"
264,1468342,"[('My', 'girlfriend'), ('green', 'line'), ('public', 'transport')]"
265,1475647,"[('red', 'line'), ('15', 'minutes'), ('more', 'than')]"
266,1488883,"[('coffee', 'shop'), ('highly', 'recommend'), ('would', 'definitely')]"
267,1494738,"[('air', 'mattress'), ('living', 'room'), ('bus', 'stop')]"
268,1495328,"[('highly', 'recommend'), ('when', 'we'), ('good', 'experience')]"
269,1502674,"[('It', 'was'), ('clean', 'and'), ('it', 'was')]"
270,1502700,"[('Biddle', 'House'), ('Old', 'Town'), ('’', 's')]"
271,1503962,"[('Lincoln', 'Square'), ('walking', 'distance'), ('bus', 'stop')]"
272,1510097,"[('automated', 'posting'), ('ice', 'cream'), ('grocery', 'store')]"
273,1516154,"[('hot', 'tub'), ('away', 'from'), ('you', 'have')]"
274,1524276,"[('next', 'time'), ('time', ""I'm""), ('definitely', 'be')]"
275,1524306,"[('place', 'is'), ('the', 'best'), ('a', 'great')]"
276,1526309,"[('conveniently', 'located'), ('newly', 'remodeled'), ('less', 'than')]"
277,1541692,"[('Hyde', 'Park'), ('You', 'can'), ('ended', 'up')]"
278,1554433,"[('walking', 'distance'), ('days', 'before'), ('two', 'different')]"
279,1557103,"[('automated', 'posting'), ('magnificent', 'mile'), ('navy', 'pier')]"
280,1557718,"[('blue', 'line'), ('public', 'transportation'), ('automated', 'posting')]"
281,1558897,"[('lease', 'agreement'), ('You', 'will'), ('Hyde', 'Park')]"
282,1565578,"[('the', 'location'), ('and', 'the')]"
283,1565607,[]
284,1584509,"[('conveniently', 'located'), ('walking', 'distance'), ('common', 'areas')]"
285,1586346,"[('Red', 'Line'), ('walking', 'distance'), ('white', 'noise')]"
286,1587078,"[('Logan', 'Square'), ('URL', 'HIDDEN'), (""can't"", 'wait')]"
287,1591370,"[('when', 'we'), ('I', 'would'), ('we', 'arrived')]"
288,1614409,"[('Rogers', 'Park'), ('public', 'transportation'), ('2', 'blocks')]"
289,1614802,"[('Batter', 'Berries'), ('Wrigley', 'Field'), ('brown', 'line')]"
290,1627655,"[('Blue', 'Line'), ('walking', 'distance'), ('good', 'restaurants')]"
291,1636189,"[('Red', 'Line'), ('Magnificent', 'Mile'), ('red', 'line')]"
292,1636940,"[('highly', 'recommend'), ('dog', 'Tank'), ('recommend', 'this')]"
293,1640268,"[('and', 'the')]"
294,1641601,"[('Wrigley', 'Field'), ('grocery', 'store'), ('Lincoln', 'Square')]"
295,1641696,"[('Lincoln', 'square'), ('brown', 'line'), ('even', 'better')]"
296,1645763,"[('2', 'months'), ('Rogers', 'Park'), ('’', 't')]"
297,1648535,"[('red', 'line'), ('walking', 'distance'), ('any', 'questions')]"
298,1656336,"[('cleaning', 'fee'), ('conveniently', 'located'), ('McKinley', 'Park')]"
299,1656439,"[('would', 'definitely'), ('walking', 'distance'), ('if', 'you')]"
300,1663673,"[('Logan', 'Square'), ('claw', 'foot'), ('keyless', 'entry')]"
301,1668481,"[('Highly', 'recommended'), ('would', 'definitely'), ('here', 'again')]"
302,1672647,"[('red', 'line'), ('grocery', 'stores'), ('walking', 'distance')]"
303,1676649,"[('very', 'friendly'), ('show', 'us'), ('very', 'nice')]"
304,1678422,"[('walking', 'distance'), (""Hector's"", 'place'), ('at', ""Hector's"")]"
305,1698479,"[('recommend', 'this'), ('lots', 'of'), ('very', 'clean')]"
306,1716626,"[('check', 'out'), ('if', 'you'), ('stay', 'at')]"
307,1716627,"[('private', 'bath'), ('Street', 'parking'), ('check', 'out')]"
308,1720664,"[('nicely', 'decorated'), ('Blue', 'Line'), ('blue', 'line')]"
309,1721045,"[('minute', 'walk'), ('feel', 'welcome'), ('us', 'feel')]"
310,1721109,"[('red', 'line'), ('any', 'questions'), ('highly', 'recommend')]"
311,1725110,"[('ceiling', 'fan'), ('Red', 'Line'), ('public', 'transportation')]"
312,1746734,"[('Highly', 'recommended'), ('air', 'conditioning'), ('Even', 'though')]"
313,1759266,"[('This', 'is'), ('place', 'to'), ('was', 'very')]"
314,1759389,"[('look', 'forward'), ('’', 't'), ('last', 'minute')]"
315,1772912,"[('Wrigley', 'Field'), ('as', 'described'), ('hang', 'out')]"
316,1778910,"[('South', 'Loop'), ('probably', ""wouldn't""), ('upon', 'arrival')]"
317,1784523,"[('Thank', 'you'), ('visiting', 'Chicago'), ('staying', 'at')]"
318,1785039,"[('blue', 'line'), ('centrally', 'located'), ('public', 'transportation')]"
319,1798506,"[('Evan', 'and')]"
320,1805794,"[('beautifully', 'decorated'), ('any', 'questions'), ('staying', 'here')]"
321,1806368,"[('Lake', 'Michigan'), ('living', 'room'), ('our', 'arrival')]"
322,1810118,"[('’', 's'), ('green', 'line'), ('public', 'transportation')]"
323,1836802,"[('walking', 'distance'), ('public', 'transport'), ('block', 'away')]"
324,1837153,"[('walking', 'distance'), ('grocery', 'store'), ('lighting', 'In')]"
325,1843765,"[('living', 'room'), ('here', 'again'), ('his', 'home')]"
326,1854000,"[('l', 'appartement'), ('Wrigley', 'Field'), ('whole', 'process')]"
327,1857003,"[('pleasantly', 'surprised'), ('wicker', 'park'), ('never', 'met')]"
328,1861548,"[('Wicker', 'Park'), ('have', 'been'), ('as', 'described')]"
329,1874928,"[('brown', 'line'), ('Highly', 'recommended'), ('fresh', 'squeezed')]"
330,1890388,"[('here', 'again'), ('stay', 'here'), (""Scott's"", 'place')]"
331,1892096,"[('blue', 'line'), ('walking', 'distance'), ('living', 'room')]"
332,1895614,"[('any', 'questions'), ('walking', 'distance'), ('Blue', 'Line')]"
333,1900901,"[('come', 'back'), ('would', 'highly'), ('went', 'out')]"
334,1917311,"[('if', 'you'), ('our', 'needs'), ('you', 'are')]"
335,1921670,"[('Blue', 'Line'), ('White', 'Castle'), ('low', 'ceilings')]"
336,1931912,"[('toaster', 'oven'), ('coffee', 'maker'), ('microwave', 'toaster')]"
337,1944802,"[('stay', 'here'), ('we', 'were'), ('it', 'is')]"
338,1954633,"[('walking', 'distance'), ('My', 'husband'), ('Lincoln', 'Park')]"
339,1964520,[]
340,1965410,"[('so', 'we')]"
341,1984545,[]
342,1989590,"[('Puerto', 'Rican'), ('Blue', 'Line'), ('blue', 'line')]"
343,1989842,"[('Highly', 'recommended'), ('red', 'line'), ('AirB', 'B')]"
344,1995991,"[('Whole', 'Foods'), ('Lake', 'Michigan'), ('bedside', 'tables')]"
345,1997116,"[('Ping', 'Pong'), ('Red', 'Line'), ('red', 'line')]"
346,2011301,"[('Logan', 'Square'), ('public', 'transportation'), ('Blue', 'Line')]"
347,2012443,"[('automated', 'posting'), ('blue', 'line'), (""don't"", 'know')]"
348,2017387,"[('come', 'back'), ('public', 'transportation'), ('walking', 'distance')]"
